Sample,SimpsonsIndex
Winter_Control_2,0.03326197452388606
Fall_Monongahela_1,0.07357188708726665
Spring_Neville_1,0.05440205326553904
Fall_Control_1,0.049592624218077835
Spring_Monongahela_2,0.06253778120424706
Fall_Braddock_1,0.11013071108650081
Winter_Sharpsburg_1,0.03510427668965185
Winter_Neville_1,0.04849511590383407
Fall_Sharpsburg_3,0.04924601077494458
Fall_Control_3,0.10370121150097227
Fall_Allegheny_3,0.046339197757798864
Summer_Allegheny_1,0.04111981523672796
Summer_Braddock_2,0.03537600950183771
Spring_Monongahela_1,0.030990405532279094
Summer_Neville_1,0.03579527029018977
Winter_Sharpsburg_2,0.027999426286786103
Summer_Sharpsburg_1,0.04158165048975673
Winter_Monongahela_1,0.03664819099362781
Spring_Sharpsburg_1,0.032857307703278445
Fall_Allegheny_1,0.04699830829440726
Fall_Control_2,0.07529424876440814
Winter_Monongahela_3,0.07142878308120001
Fall_Neville_3,0.06793156478277586
Spring_Control_1,0.062221393315803716
Fall_Neville_1,0.04049548829827703
Winter_Allegheny_3,0.06452817220689976
Fall_Monongahela_2,0.08638497047660573
Summer_Monongahela_1,0.038766829730884265
Summer_Braddock_1,0.035827653168945255
Summer_Neville_2,0.06725441206646893
Winter_Sharpsburg_3,0.028445879362420164
Summer_Sharpsburg_2,0.037897839081309295
Fall_Neville_2,0.06137900751660082
Winter_Braddock_2,0.06809112964320439
Fall_Braddock_2,0.12689618594801194
Winter_Monongahela_2,0.04824324324324325
Winter_Neville_3,0.05632805148857691
Fall_Sharpsburg_4,0.039756194685224226
Fall_Monongahela_3,0.09288365912208503
Spring_Braddock_2,0.0708335075321269
Winter_Neville_2,0.060666299357208436
Fall_Braddock_3,0.059781058671991474
Fall_Sharpsburg_1,0.04269364231695689
Winter_Braddock_1,0.05596847135038697
Winter_Braddock_3,0.05455068438801825
Winter_Allegheny_2,0.06409666124743857
Fall_Allegheny_2,0.03644575428157985
Fall_Sharpsburg_2,0.031726094182825466
Spring_Braddock_1,0.06989964975296069
