,Fall_Allegheny_1,Fall_Allegheny_2,Fall_Allegheny_3,Fall_Braddock_1,Fall_Braddock_2,Fall_Braddock_3,Fall_Control_1,Fall_Control_2,Fall_Control_3,Fall_Monongahela_1,Fall_Monongahela_2,Fall_Monongahela_3,Fall_Neville_1,Fall_Neville_2,Fall_Neville_3,Fall_Sharpsburg_1,Fall_Sharpsburg_2,Fall_Sharpsburg_3,Fall_Sharpsburg_4,Spring_Braddock_1,Spring_Braddock_2,Spring_Control_1,Spring_Monongahela_1,Spring_Monongahela_2,Spring_Neville_1,Spring_Sharpsburg_1,Summer_Allegheny_1,Summer_Braddock_1,Summer_Braddock_2,Summer_Monongahela_1,Summer_Neville_1,Summer_Neville_2,Summer_Sharpsburg_1,Summer_Sharpsburg_2,Winter_Allegheny_2,Winter_Allegheny_3,Winter_Braddock_1,Winter_Braddock_2,Winter_Braddock_3,Winter_Control_2,Winter_Monongahela_1,Winter_Monongahela_2,Winter_Monongahela_3,Winter_Neville_1,Winter_Neville_2,Winter_Neville_3,Winter_Sharpsburg_1,Winter_Sharpsburg_2,Winter_Sharpsburg_3,
Fall_Monongahela_2,0.7094576892847786,0.7188221709006928,0.7832853025936599,0.5805596465390279,0.5629156010230179,0.6369288997026223,0.8530655391120507,0.9044967880085653,0.8325508607198748,0.4707740916271722,0,0.3807461692205196,0.7328591749644382,0.7277904328018223,0.7350586979722519,0.749205340114431,0.7451174289245983,0.7663575476558475,0.7498640565524741,0.9882996311840264,0.9867417964865761,0.9969770253929867,0.9855166802278275,0.9875168278056542,0.9831982605257956,0.979933110367893,0.9533908179911442,0.9419841423322375,0.9523705483941446,0.9406185567010309,0.9366396761133603,0.9679969879518072,0.9624904798172125,0.960617626648161,0.9893385552654482,0.9893037336024217,0.9946990957280948,0.985480464625132,0.9864731923266109,0.9973190348525469,0.9858230506694671,0.9859325733689062,0.9829646580218663,0.9865044668314009,0.9855444159477734,0.9869005847953216,0.9952130205840115,0.9885169802101148,0.9866172534486308,
Fall_Monongahela_3,0.7121879588839941,0.724803664921466,0.7839444995044599,0.5483542585680352,0.5759955131800336,0.5697489672704164,0.8670842032011135,0.9018242918867019,0.845564773452457,0.43672727272727274,0.3807461692205196,0,0.7170491803278689,0.7254138266796495,0.757028706717964,0.7139067828723001,0.7343008651967624,0.7564402810304449,0.7566656451118603,0.979490708878183,0.9747976453274466,0.996385977593061,0.9740493782663543,0.9794086589229145,0.9679372197309417,0.9707446808510638,0.9321438226547716,0.9249890972525077,0.9332998996990973,0.9219043151969981,0.9180252583237658,0.9542857142857143,0.9472329472329473,0.9466563587166602,0.9808790663024584,0.981532147742818,0.9902145276627776,0.9668335419274092,0.9762653703174149,0.9940251572327043,0.9673608952440161,0.9691305579156047,0.9717598097502973,0.9738702077532663,0.9758064516129032,0.9709475970676079,0.9855755894590846,0.9763936291240045,0.972801875732708,
Fall_Neville_1,0.5731707317073171,0.4885231702035513,0.5272154745838956,0.728735632183908,0.7255115961800819,0.7089246294544308,0.8184217471628398,0.8953087728597933,0.8703870387038704,0.72893533638145,0.7328591749644382,0.7170491803278689,0,0.5388127853881279,0.6434191702432046,0.5528100775193798,0.5968728755948334,0.5991976659372721,0.5544554455445545,0.9869885788636692,0.9846698113207547,0.9919183326244151,0.9783533049864708,0.986159169550173,0.9720725134737873,0.9721009218825812,0.9417562724014337,0.9405012883579292,0.9387586206896552,0.9311224489795918,0.9344059405940595,0.9627087622969572,0.9483644859813084,0.9517771773020162,0.9868457111537408,0.9890438247011952,0.9973568281938326,0.9838539838539838,0.9852894147745443,0.9931482149296791,0.9885496183206107,0.9846105527638191,0.9806279225116901,0.985654789449329,0.9841791044776119,0.9859112709832134,0.9950525664811379,0.9889135254988913,0.9857069933639612,
Fall_Neville_2,0.5132216014897579,0.5496688741721854,0.6085484553533644,0.7361743656473649,0.7082988695891922,0.7273853779429987,0.8197109067017083,0.9089486042264545,0.8608282416836388,0.7309941520467836,0.7277904328018223,0.7254138266796495,0.5388127853881279,0,0.5385796545105566,0.6271729185727356,0.6216306156405991,0.5961398397669337,0.5586152635719905,0.988328530259366,0.9847118776950216,0.995787700084246,0.9803770681031165,0.9874448123620309,0.9746712128592304,0.979106628242075,0.9519740718915733,0.9382167095717294,0.9519543973941368,0.9346173340091232,0.9290850483511034,0.9703418609916232,0.951706524262828,0.9562435500515996,0.9830090435735818,0.9850523168908819,0.9920774647887324,0.978939978939979,0.98081228014071,0.9935437589670014,0.9794425087108014,0.980213567839196,0.9759519038076152,0.9819444444444444,0.9793906810035842,0.9811037792441512,0.9907235621521335,0.9825452237384957,0.9816138917262512,
Fall_Neville_3,0.5433743169398907,0.6667843275679493,0.6465222348916762,0.7621315867817803,0.7527044025157232,0.7721412556053812,0.7715317173800929,0.8994565217391304,0.8696485623003195,0.7125693160813309,0.7350586979722519,0.757028706717964,0.6434191702432046,0.5385796545105566,0,0.6867228239069394,0.6945594322885866,0.6653734238603297,0.6658759742460183,0.9915664316327941,0.9892493049119555,0.9962221382697394,0.9858052775250228,0.9905848030765151,0.9818305700658642,0.9815398469158036,0.9645850229791836,0.9463307776560789,0.9579026972523317,0.9525035095928872,0.9431530494821634,0.9751275510204082,0.9636363636363636,0.9668540414809071,0.9913924050632912,0.9930507296733843,0.9933228593872742,0.9898412698412699,0.9906651108518086,0.9944480731548008,0.9902239041311889,0.9899569583931134,0.9866464339908952,0.9896171317326411,0.9893179950698439,0.9909265878471267,0.9923076923076923,0.9918864097363083,0.9900450343683337,
Fall_Sharpsburg_1,0.6175059952038369,0.5750599520383692,0.6057692307692308,0.6911362748926201,0.7333740085417938,0.7195558739255015,0.8156792339916218,0.8912184746277727,0.8716470293306593,0.7204097116843702,0.749205340114431,0.7139067828723001,0.5528100775193798,0.6271729185727356,0.6867228239069394,0,0.6214667685255921,0.6685370741482966,0.6249451032059727,0.9821148415437716,0.9771076381245872,0.9918300653594772,0.9770386266094421,0.9811377245508982,0.9711807498601007,0.9663608562691132,0.9291784702549575,0.930269837029121,0.9288702928870293,0.9300495482366657,0.93681550126369,0.9601139601139601,0.9434863358981163,0.9498607242339833,0.9804299005453962,0.9821787870077608,0.9936998854524628,0.972318339100346,0.9752895752895753,0.9973533303925893,0.9751924721984602,0.9746883264072534,0.9690679690679691,0.9788639365918098,0.9747600426590828,0.9767774205073241,0.9941068139963167,0.9875,0.9781129843241645,
Fall_Sharpsburg_2,0.5945615643140849,0.5627403005941978,0.5965417867435159,0.7074223245109321,0.676419104776194,0.68671679197995,0.858006718924972,0.9192238267148014,0.8785529715762274,0.7387538418552668,0.7451174289245983,0.7343008651967624,0.5968728755948334,0.6216306156405991,0.6945594322885866,0.6214667685255921,0,0.5352806038726616,0.5928853754940712,0.9836131095123901,0.9795486600846263,0.9936091490077363,0.9683953204120831,0.9834996162701458,0.9618616677440207,0.9744617982271,0.938041815400306,0.9369834710743802,0.9487179487179487,0.9344552701505757,0.9296111231805344,0.9648664926721542,0.9382383419689119,0.9399326347305389,0.9789598108747045,0.9806226866971478,0.9979253112033195,0.9746355685131195,0.9765372168284789,0.9982394366197183,0.9786312445856195,0.9760956175298805,0.9723076923076923,0.9781588079199837,0.9750445632798574,0.9764886276514183,0.9948078920041536,0.9834754797441365,0.9775305895439377,
Fall_Sharpsburg_3,0.5909833387781771,0.5796509468993687,0.6119230769230769,0.7227452171272396,0.7114543114543115,0.717347234289024,0.8493543758967002,0.9191070571291406,0.9001848428835489,0.7538325471698113,0.7663575476558475,0.7564402810304449,0.5991976659372721,0.5961398397669337,0.6653734238603297,0.6685370741482966,0.5352806038726616,0,0.5953471977440958,0.9863316305398315,0.9822386679000925,0.9962894248608535,0.9723948811700183,0.9855648258508807,0.9650525354042943,0.9794642857142857,0.9538710547612624,0.9411508282476024,0.9524048096192385,0.9320273778616945,0.9350470507229746,0.9706131078224102,0.948695652173913,0.9524737047136735,0.9740458015267176,0.9757632253553951,0.991112828438949,0.9680511182108626,0.9715625916153621,0.9906391220142027,0.9708676377454085,0.9723502304147466,0.9658015267175573,0.9734609527953013,0.9688275862068966,0.9706533776301218,0.9872881355932204,0.9782734646581692,0.9774560987185572,
Fall_Sharpsburg_4,0.6305647840531561,0.58046875,0.586435070306038,0.7225580655424754,0.7200956937799043,0.7296163069544365,0.809020618556701,0.8889461479000258,0.8625550660792951,0.7520098948670377,0.7498640565524741,0.7566656451118603,0.5544554455445545,0.5586152635719905,0.6658759742460183,0.6249451032059727,0.5928853754940712,0.5953471977440958,0,0.9836554860716316,0.978453251250481,0.9923847695390782,0.9690525916081261,0.982979302832244,0.961225466730493,0.9735238987816307,0.9288204532248693,0.9356898517673888,0.9494603843116609,0.936441717791411,0.9351364289133557,0.9641275465013286,0.9404653284671532,0.9405637254901961,0.9795430393198725,0.9810954920019389,0.995433789954338,0.9729638391348429,0.9752857584182886,0.9979522184300341,0.9772651287194918,0.974802671523983,0.970360824742268,0.9783393501805054,0.9748554913294798,0.9764944863609982,0.9952634695085849,0.981062919975565,0.977656405163853,
Spring_Braddock_1,0.9856232198562322,0.9857826780792108,0.9912150089338893,0.9762532981530343,0.9749121926743602,0.9754485363550519,0.9938201538655568,0.9948885976408912,0.9939787485242031,0.9908544908544908,0.9882996311840264,0.979490708878183,0.9869885788636692,0.988328530259366,0.9915664316327941,0.9821148415437716,0.9836131095123901,0.9863316305398315,0.9836554860716316,0,0.5780147662018047,0.9967532467532467,0.7670829240914832,0.4637434369235135,0.7474369406021155,0.7740811153358682,0.8627704229899903,0.8433040219114891,0.8470108269260945,0.886653155761436,0.8302112992656976,0.8531258920924921,0.876439202471216,0.8366013071895425,0.854551241247613,0.8156328320802005,0.9811287477954145,0.8993288590604027,0.8882225553889722,0.975415174210355,0.9086579350229631,0.868995633187773,0.8676343528598582,0.8252383790226461,0.8663382594417077,0.8474803281433115,0.9158503292114983,0.9108218063466232,0.8681102362204725,
